pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80026,2912,44810,32304,3.64,2020/03/02 19:40:50
Corea del Sur,4335,28,30,4277,0.65,2020/03/02 19:40:50
Italia,2036,52,149,1835,2.55,2020/03/02 19:40:50
Irán,1501,66,291,1144,4.4,2020/03/02 19:40:50
Crucero Diamond Princess,705,6,10,689,0.85,2020/03/02 19:40:50
Japón,274,6,32,236,2.19,2020/03/02 19:40:50
Francia,191,3,12,176,1.57,2020/03/02 19:40:50
Alemania,159,0,16,143,0,2020/03/02 19:40:50
España,120,0,2,118,0,2020/03/02 19:40:50
Singapur,108,0,78,30,0,2020/03/02 19:40:50
EEUU,101,6,7,88,5.94,2020/03/02 19:40:50
Hong Kong,100,2,36,62,2,2020/03/02 19:40:50
Kuwait,56,0,0,56,0,2020/03/02 19:40:50
Baréin,49,0,0,49,0,2020/03/02 19:40:50
Tailandia,43,1,31,11,2.33,2020/03/02 19:40:50
Suiza,42,0,0,42,0,2020/03/02 19:40:50
Taiwán,41,1,12,28,2.44,2020/03/02 19:40:50
Reino Unido,40,0,8,32,0,2020/03/02 19:40:50
Australia,30,1,11,18,3.33,2020/03/02 19:40:50
Malasia,29,0,18,11,0,2020/03/02 19:40:50
Canadá,27,0,6,21,0,2020/03/02 19:40:50
Iraq,26,0,0,26,0,2020/03/02 19:40:50
Noruega,25,0,0,25,0,2020/03/02 19:40:50
Emiratos Árabes Unidos,21,0,5,16,0,2020/03/02 19:40:50
Austria,18,0,0,18,0,2020/03/02 19:40:50
Holanda,18,0,0,18,0,2020/03/02 19:40:50
Vietnam,16,0,16,0,0,2020/03/02 19:40:50
Suecia,15,0,0,15,0,2020/03/02 19:40:50
Líbano,13,0,0,13,0,2020/03/02 19:40:50
Israel,10,0,1,9,0,2020/03/02 19:40:50
Macao,10,0,8,2,0,2020/03/02 19:40:50
Bélgica,8,0,1,7,0,2020/03/02 19:40:50
San Marino,8,0,0,8,0,2020/03/02 19:40:50
Croacia,7,0,0,7,0,2020/03/02 19:40:50
Grecia,7,0,0,7,0,2020/03/02 19:40:50
Ecuador,6,0,0,6,0,2020/03/02 19:40:50
Finlandia,6,0,1,5,0,2020/03/02 19:40:50
Islandia,6,0,0,6,0,2020/03/02 19:40:50
Omán,6,0,1,5,0,2020/03/02 19:40:50
India,5,0,3,2,0,2020/03/02 19:40:50
México,5,0,0,5,0,2020/03/02 19:40:50
Dinamarca,4,0,0,4,0,2020/03/02 19:40:50
Pakistán,4,0,0,4,0,2020/03/02 19:40:50
Argelia,3,0,0,3,0,2020/03/02 19:40:50
Azerbaiyán,3,0,0,3,0,2020/03/02 19:40:50
Filipinas,3,1,1,1,33.33,2020/03/02 19:40:50
Georgia,3,0,0,3,0,2020/03/02 19:40:50
Qatar,3,0,0,3,0,2020/03/02 19:40:50
República Checa,3,0,0,3,0,2020/03/02 19:40:50
Rumania,3,0,0,3,0,2020/03/02 19:40:50
Rusia,3,0,2,1,0,2020/03/02 19:40:50
Brasil,2,0,0,2,0,2020/03/02 19:40:50
Egipto,2,0,1,1,0,2020/03/02 19:40:50
Indonesia,2,0,0,2,0,2020/03/02 19:40:50
Portugal,2,0,0,2,0,2020/03/02 19:40:50
Afganistán,1,0,0,1,0,2020/03/02 19:40:50
Andorra,1,0,0,1,0,2020/03/02 19:40:50
Arabia Saudita,1,0,0,1,0,2020/03/02 19:40:50
Armenia,1,0,0,1,0,2020/03/02 19:40:50
Bielorrusia,1,0,0,1,0,2020/03/02 19:40:50
Camboya,1,0,1,0,0,2020/03/02 19:40:50
Estonia,1,0,0,1,0,2020/03/02 19:40:50
Irlanda,1,0,0,1,0,2020/03/02 19:40:50
Letonia,1,0,0,1,0,2020/03/02 19:40:50
Lituania,1,0,0,1,0,2020/03/02 19:40:50
Luxemburgo,1,0,0,1,0,2020/03/02 19:40:50
Macedonia del Norte,1,0,0,1,0,2020/03/02 19:40:50
Marruecos,1,0,0,1,0,2020/03/02 19:40:50
Monaco,1,0,0,1,0,2020/03/02 19:40:50
Nepal,1,0,1,0,0,2020/03/02 19:40:50
Nigeria,1,0,0,1,0,2020/03/02 19:40:50
Nueva Zelanda,1,0,0,1,0,2020/03/02 19:40:50
República Dominicana,1,0,0,1,0,2020/03/02 19:40:50
Senegal,1,0,0,1,0,2020/03/02 19:40:50
Sri Lanka,1,0,1,0,0,2020/03/02 19:40:50
